File,Sheet,Model,BIC,RMSE,MaxResidual
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25.xlsx,Measurement 1,Norm+3×Logn,-4507.11612405866,0.0165822570756988,0.0536634326759124
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25.xlsx,Measurement 3,Norm+2×Logn,-4426.57432626386,0.0187258388148769,0.0603107372472935
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25.xlsx,Measurement 5,Norm+Logn,-4593.58988628468,0.0154359782601329,0.0474845909306959
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25.xlsx,Measurement 7,Norm+2×Logn,-4393.60501838553,0.0193482286390846,0.0605417062758617
