File,Model,BIC
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25.xlsx:Measurement 1,Norm+Logn,-1126.91387769019
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25.xlsx:Measurement 2,Norm+Logn,-1248.53734908634
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25.xlsx:Measurement 3,Norm+Logn,-1306.72859690283
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25.xlsx:Measurement 4,Norm+Logn,-1310.78801348677
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25.xlsx:Measurement 5,Norm+Logn,-1296.6757548493
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25.xlsx:Measurement 6,Norm+Logn,-1289.20577191756
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25.xlsx:Measurement 7,Norm+Logn,-1309.45007661645
