File,Sheet,RMSE,MissedPeakPenalty,WidthPenalty,NumMissedPeaks,Params
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25,2,0.0031511,1,0,1,[109.7 75.85 0.04469 4.379 1.563 0.0742 25.34 -1.126 -1.453]
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25,4,0.018762,0,0,0,[50.42 -0.9438 0.06741 4.594 8.733 0.3765 25.13 2.306 -0.01724]
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25,6,5.73963+20.5203i,1,0,1,[-0.02241 1.191 -25.16 -77.05 954.6 7.445 -170.7 -359.6 -11.57]
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25,8,0.010094,0,0,0,[32.56 -2.243 0.2124 59.32 6.174 0.1446 29.88 1.201 0.5179]
