File,Sheet,Model,BIC
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25.xlsx,Measurement 1,Norm+2×Logn,-4191.63917583611
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25.xlsx,Measurement 2,Norm+2×Logn,-4167.90206136315
TSE001 75 min run 25-5_2025-05-20-14-02-21_TSE001 run 25.xlsx,Measurement 3,Norm+2×Logn,-4270.08598190653
